Symbol	Name	US Symbol	Sector	International Market
ABST:TSX	Absolute Software Corporation	ABST	Technology	NASDAQ
ABX:TSX	Barrick Gold Corporation	GOLD	Mining	NYSE
ACB:TSX	Aurora Cannabis Inc.	ACB	Life Sciences	NasdaqGS
AEM:TSX	Agnico Eagle Mines Limited	AEM	Mining	NYSE
AEZS:TSX	AEterna Zentaris Inc.	AEZS	Life Sciences	NasdaqCM
AFM:TSXV	Alphamin Resources Corp.		Mining	JSE
AGI:TSX	Alamos Gold Inc.	AGI	Mining	NYSE
AGLD:TSXV	Austral Gold Limited		Mining	ASX
AII:TSX	Almonty Industries Inc.		Mining	ASX
AKE:TSX	Allkem Limited		Mining	ASX
AKU:TSX	Akumin Inc.	AKU	Life Sciences	NasdaqCM
ALPS.U:TSXV	Alpine Summit Energy Partners, Inc.	ALPS	Oil & Gas	NasdaqGM
ALT:TSXV	Alturas Minerals Corp.		Mining	Lima (BVL)
ALYA:TSX	Alithya Group Inc.	ALYA	Technology	NasdaqCM
AMM:TSX	Almaden Minerals Ltd.	AAU	Mining	NYSE MKT
AMRQ:TSXV	Amaroq Minerals Ltd.		Mining	AIM
AOI:TSX	Africa Oil Corp.		Oil & Gas	Nasdaq Nordic
APS:TSX	Aptose Biosciences Inc.	APTO	Life Sciences	NasdaqCM
AQN:TSX	Algonquin Power & Utilities Corp.	AQN	Clean Technology & Renewable Energy	NYSE
ASM:TSX	Avino Silver & Gold Mines Ltd.	ASM	Mining	NYSE MKT
ASTL.WT:TSX	Algoma Steel Group Inc. Wt	ASTLW	Industrial Products & Services	NASDAQ
ASTL:TSX	Algoma Steel Group Inc.	ASTL	Industrial Products & Services	NasdaqGM
ATCU:TSX	Alta Copper Corp.		Mining	Lima (BVL)
ATS:TSX	ATS Corporation	ATS	Industrial Products & Services	NYSE
AUMN:TSX	Golden Minerals Company	AUMN	Mining	NYSE MKT
AZ:TSXV	A2Z Smart Technologies Corp.	AZ	Technology	NasdaqCM
BAM:TSX	Brookfield Asset Management Ltd.	BAM	Financial Services	NYSE
BB:TSX	BlackBerry Limited	BB	Technology	NYSE
BBU.UN:TSX	Brookfield Business Partners L.P.	BBU	Real Estate	NYSE
BBUC:TSX	Brookfield Business Corporation	BBUC	Industrial Products & Services	NYSE
BCE:TSX	BCE Inc.	BCE	Comm. & Media	NYSE
BCM:TSXV	Bear Creek Mining Corporation		Mining	Lima (BVL)
BCT:TSX	BriaCell Therapeutics Corp.	BCTX	Life Sciences	NasdaqCM
BEP.UN:TSX	Brookfield Renewable Partners L.P.	BEP	Clean Technology & Renewable Energy	NYSE
BEPC:TSX	Brookfield Renewable Corporation	BEPC	Clean Technology & Renewable Energy	NYSE
BHC:TSX	Bausch Health Companies Inc.	BHC	Life Sciences	NYSE
BHLI:TSXV	Bradda Head Lithium Limited		Mining	AIM
BIP.UN:TSX	Brookfield Infrastructure Partners L.P.	BIP	Industrial Products & Services	NYSE
BIPC:TSX	Brookfield Infrastructure Corporation	BIPC	Industrial Products & Services	NYSE
BITF:TSX	Bitfarms Ltd.	BITF	Technology	NasdaqCM
BLCO:TSX	Bausch + Lomb Corporation	BLCO	Life Sciences	NYSE
